名称,户型,面积,朝向,是否装修,有无电梯,总价,单价,产权信息
木渎康悦家园五号线三室一厅精装修家电齐全房东诚心卖,3室1厅,79.88平米,南,精装,低楼层(共18层),179,22409,非共有
精装下叠边户，带院子，带地下室,4室2厅,200平米,南,精装,3层,750,37500,共有
近地铁，房龄新，人车分流，楼层适中，精装修一手交付,2室2厅,89.99平米,南,精装,低楼层(共33层),299,33226,共有
龙湖狮山原著 5室2厅 南 北,5室2厅,283.5平米,南 北,精装,下叠(共4层),1640,57849,非共有
S1地铁口花桥裕花园精装大四房中间楼层边套采光无遮挡,4室2厅,122.12平米,东 西,精装,高楼层(共30层),234,19162,共有
森隆满园 精装三房 景观楼层 视野开阔 看房有钥匙,3室2厅,95.46平米,南,精装,中楼层(共27层),150,15714,共有
大运城两室一厅带燃气挑高5.6米，有阳台，南北通透,2室1厅,48.76平米,东南 北,简装,中楼层(共14层),85.9,17617,共有
满二省税，小三房户型方正，万科精装修，有钥匙,3室2厅,89.42平米,南,精装,中楼层(共34层),177,19795,非共有
满五年 3楼 简单装修 采光好全明户型 价格可谈,2室1厅,64.69平米,南,简装,中楼层(共6层),142.4,22013,非共有
春申景城 2室1厅 南 北,2室1厅,83.35平米,南 北,精装,低楼层(共11层),140,16797,共有
刚需两房，低总价东环沿线长风新村。,2室0厅,41.9平米,南 北,毛坯,中楼层(共6层),117,27924,非共有
东沙湖璞缇墅大花园别墅 诚心出售低于上装修随时看房,5室2厅,355平米,南,精装,3层,1690,47606,共有
满五年不唯一  户型方正  精装修 保养好,4室2厅,132.14平米,南,精装,30层,590,44650,共有
金御华府 3室2厅 南,3室2厅,96.18平米,南,精装,中楼层(共18层),270,28073,共有
地铁口出行方便，低总价  满五年唯一好房诚意出售,2室1厅,48.6平米,南,简装,中楼层(共6层),120,24692,共有
复式四房，婚装自住，得房率高，使用面积大,4室2厅,120.29平米,南,精装,中楼层(共18层),319.5,26561,共有
淞泽家园（九区） 1室1厅 南,1室1厅,42.4平米,南,精装,中楼层(共4层),118,27831,非共有
鑫苑世家92双南户型·近康桥··SI地铁口·毛坯,3室2厅,92.19平米,南,毛坯,低楼层(共25层),175,18983,共有
小三房，看房随时，钥匙在店 急售,3室2厅,95.19平米,南,简装,高楼层(共12层),132,13868,共有
姑苏区 市实小陪读房 2017年全新精装修 3楼 带车库,2室1厅,55.24平米,南,精装,6层,126,22810,共有
绿地世纪雅苑 精装自住房保养好 南北通透 采光无遮挡,3室2厅,86.16平米,南 北,精装,低楼层(共20层),157,18222,非共有
城西氧吧！满二年，边套有车位位置好 空中别墅大露台,4室2厅,151.57平米,南,毛坯,高楼层(共5层),380,25071,共有
